Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
ALL,0.48711045955280163,0.2456092864468977,0.24029420921798947,0.3265610161177044,0.8578371810449574,0.24498219340699479,0.23967813540510544,0.3811228548698715,13414,12957,2223,41341,15637,882823520486,00:14:42
CLASSES,0.49133826749251336,0.2682737684419253,0.2620458666866432,0.3470539232248814,0.8470895583312924,0.28327281662071035,0.2754920986969781,0.4245672899873154,10376,9937,1873,26253,12249,-,-
PROPERTIES,0.2949163813555608,0.12516334755032943,0.12480812128563865,0.17574150332857907,0.8966942148760331,0.16842221975828806,0.16869623505753548,0.2835806963502287,3038,3020,350,15000,3388,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
