Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
ALL,0.12529044831606195,0.01187846587220974,6.22264850321051E-4,0.021699644168553897,0.5781865965834428,0.00803579581773354,4.624405763859344E-4,0.015851286115714392,440,25,321,54315,1042,2423740882100,00:40:23
CLASSES,0.12689434364994662,0.013553378820963408,7.934948759109705E-6,0.024490922023765235,0.7669172932330827,0.011138715225640885,5.544620332122758E-5,0.021958504884152737,408,2,124,36221,532,-,-
PROPERTIES,0.014674493062966915,0.003969364654650768,0.0031041093794579853,0.00624853664636331,0.2909090909090909,0.0017740325978489854,0.0012847726511004357,0.0035265594004849016,32,23,78,18006,110,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,119,0,400,-,-
